Red,Green,Blue
0.361,0.308,0.332
0.322,0.336,0.342
0.320,0.341,0.339
0.328,0.325,0.347
0.367,0.300,0.333
0.408,0.270,0.322
0.482,0.256,0.262
0.465,0.283,0.252
0.409,0.318,0.273
0.499,0.258,0.243
0.342,0.363,0.295
0.353,0.333,0.314
0.334,0.351,0.315
0.340,0.340,0.321
0.355,0.318,0.327
0.361,0.310,0.329
0.362,0.308,0.330
0.358,0.310,0.332
0.355,0.324,0.321
0.346,0.332,0.321
0.345,0.328,0.327
0.341,0.325,0.335
0.346,0.318,0.335
0.369,0.309,0.322
0.372,0.312,0.316
0.370,0.316,0.314
0.365,0.319,0.316
0.360,0.321,0.319
0.355,0.324,0.321
0.352,0.326,0.322
0.350,0.331,0.319
0.351,0.335,0.314
0.333,0.333,0.333
0.333,0.333,0.333
0.333,0.333,0.333
0.343,0.324,0.333
0.350,0.313,0.337
0.355,0.312,0.334
0.353,0.313,0.333
0.350,0.314,0.336
0.345,0.314,0.340
0.343,0.316,0.340
0.343,0.319,0.338
0.345,0.320,0.335
0.348,0.324,0.329
0.348,0.330,0.323
0.349,0.333,0.318
0.352,0.335,0.313
0.355,0.333,0.312
0.363,0.328,0.309
0.369,0.321,0.309
0.359,0.325,0.316
0.365,0.322,0.313
0.367,0.323,0.311
0.365,0.323,0.312
0.362,0.323,0.315
0.359,0.326,0.316
0.358,0.328,0.314
0.357,0.331,0.311
0.356,0.335,0.309
0.355,0.337,0.308
0.358,0.333,0.309
0.365,0.325,0.309
0.366,0.324,0.310
0.369,0.328,0.303
0.355,0.330,0.315
0.318,0.335,0.347
0.267,0.314,0.419
0.239,0.316,0.445
0.220,0.314,0.466
0.214,0.319,0.467
0.240,0.343,0.417
0.318,0.350,0.333
0.354,0.329,0.316
0.357,0.332,0.311
0.360,0.333,0.306
0.365,0.330,0.305
0.365,0.330,0.305
0.364,0.331,0.305
0.360,0.334,0.306
0.355,0.334,0.311
0.358,0.325,0.316
0.368,0.320,0.313
0.354,0.328,0.318
0.300,0.363,0.336
0.291,0.368,0.341
0.348,0.333,0.319
0.362,0.323,0.316
0.363,0.332,0.305
0.372,0.323,0.306
0.368,0.331,0.301
0.366,0.318,0.316
0.356,0.314,0.330
0.343,0.318,0.339
0.331,0.330,0.339
0.330,0.335,0.335
0.328,0.338,0.334
0.331,0.335,0.334
0.333,0.329,0.338
0.339,0.320,0.341
0.349,0.311,0.340
0.353,0.318,0.328
0.359,0.328,0.313
0.364,0.323,0.314
0.371,0.323,0.306
0.352,0.331,0.317
0.333,0.333,0.333
0.333,0.333,0.333
0.314,0.343,0.343
0.294,0.353,0.353
0.311,0.344,0.344
0.333,0.333,0.333
0.333,0.333,0.333
0.315,0.343,0.343
0.253,0.373,0.373
0.160,0.407,0.433
0.146,0.303,0.552
0.124,0.343,0.533
0.074,0.427,0.499
0.043,0.431,0.526
0.038,0.386,0.576
0.038,0.333,0.629
0.039,0.306,0.655
0.039,0.275,0.686
0.041,0.213,0.747
0.048,0.122,0.830
0.055,0.098,0.847
0.069,0.099,0.832
0.123,0.148,0.729
0.151,0.178,0.670
0.119,0.148,0.734
0.067,0.096,0.837
0.057,0.430,0.513
0.188,0.354,0.459
0.349,0.335,0.316
0.357,0.335,0.308
0.365,0.325,0.311
0.358,0.327,0.315
0.355,0.329,0.317
0.349,0.326,0.325
0.344,0.320,0.336
0.334,0.325,0.341
0.330,0.328,0.341
0.328,0.334,0.338
0.327,0.335,0.338
0.329,0.341,0.330
0.331,0.346,0.323
0.342,0.346,0.312
0.340,0.345,0.314
0.346,0.357,0.297
0.436,0.318,0.247
0.463,0.300,0.237
0.375,0.219,0.406
