Red,Green,Blue
0.427,0.276,0.297
0.422,0.265,0.312
0.423,0.267,0.310
0.428,0.273,0.299
0.430,0.295,0.275
0.424,0.330,0.246
0.409,0.361,0.229
0.389,0.386,0.225
0.373,0.397,0.230
0.363,0.400,0.237
0.358,0.400,0.242
0.357,0.404,0.240
0.359,0.405,0.236
0.370,0.404,0.226
0.392,0.389,0.218
0.425,0.353,0.222
0.459,0.305,0.236
0.392,0.389,0.218
0.425,0.353,0.222
0.459,0.305,0.236
0.494,0.250,0.256
0.501,0.237,0.261
0.501,0.235,0.263
0.501,0.232,0.267
0.492,0.235,0.273
0.472,0.244,0.285
0.442,0.251,0.306
0.431,0.255,0.313
0.409,0.251,0.340
0.392,0.250,0.359
0.392,0.249,0.359
0.391,0.250,0.359
0.397,0.250,0.353
0.425,0.253,0.322
0.452,0.283,0.265
0.451,0.306,0.243
0.445,0.326,0.228
0.410,0.372,0.218
0.365,0.403,0.233
0.353,0.386,0.261
0.350,0.365,0.284
0.356,0.340,0.304
0.358,0.329,0.313
0.357,0.330,0.313
0.354,0.338,0.308
0.352,0.349,0.299
0.351,0.358,0.291
0.357,0.354,0.289
0.365,0.334,0.301
0.367,0.309,0.323
0.369,0.294,0.337
0.374,0.284,0.343
0.380,0.275,0.345
0.386,0.266,0.348
0.392,0.261,0.347
0.392,0.263,0.345
0.400,0.271,0.329
0.423,0.286,0.291
0.443,0.301,0.256
0.462,0.308,0.231
0.485,0.303,0.212
0.501,0.295,0.204
0.503,0.292,0.206
0.503,0.288,0.209
0.500,0.288,0.212
0.496,0.288,0.216
0.497,0.280,0.223
0.499,0.273,0.228
0.503,0.271,0.226
0.505,0.278,0.217
0.505,0.283,0.212
0.505,0.288,0.206
0.504,0.297,0.199
0.504,0.297,0.199
0.504,0.297,0.199
0.504,0.296,0.200
0.504,0.290,0.206
0.502,0.279,0.219
0.502,0.273,0.224
0.500,0.273,0.227
0.496,0.273,0.231
0.496,0.274,0.231
0.496,0.272,0.233
0.494,0.277,0.229
0.496,0.278,0.226
0.494,0.286,0.221
0.496,0.284,0.220
0.498,0.281,0.221
0.496,0.286,0.218
0.496,0.287,0.217
0.498,0.294,0.208
0.502,0.295,0.203
0.505,0.296,0.199
0.510,0.293,0.197
0.511,0.291,0.197
0.511,0.291,0.198
0.511,0.290,0.199
0.511,0.291,0.199
0.510,0.289,0.201
0.503,0.287,0.210
0.493,0.289,0.218
0.486,0.292,0.223
0.476,0.298,0.226
0.473,0.299,0.228
0.470,0.302,0.228
0.464,0.305,0.231
0.455,0.305,0.240
